,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
1687,['格林城 3室2厅 东'],暂无数据,首付及贷款情况请咨询经纪人,格林城,双流,华府,3室2厅1厨2卫,低楼层 (共25层),96.26㎡,平层,77.9㎡,板塔结合,东,钢混结构,精装,两梯六户,有,2021-04-06,商品房,2019-08-19,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1688,['富豪时代 3室2厅 南'],158,14871,富豪时代,双流,东升镇,3室2厅1厨2卫,中楼层 (共6层),106.25㎡,平层,96.17㎡,板塔结合,南,钢混结构,简装,一梯两户,无,2021-11-22,商品房,2010-06-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1689,['南昌路50号 3室1厅 东南'],90,7677,南昌路50号,双流,东升镇,3室1厅1厨2卫,高楼层 (共6层),117.24㎡,平层,110㎡,板塔结合,东南,钢混结构,精装,一梯一户,无,2019-11-16,商品房,2018-08-03,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1690,['九龙仓时代上城 3室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,九龙仓时代上城,双流,华府,3室1厅1厨2卫,高楼层 (共32层),111.93㎡,平层,88.9㎡,塔楼,南,钢混结构,精装,两梯六户,有,2021-10-20,商品房,2018-09-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1691,['东立国际花城 3室2厅 南'],143,13639,东立国际花城,双流,蛟龙港,3室2厅1厨1卫,低楼层 (共16层),104.85㎡,平层,89.31㎡,塔楼,南,钢混结构,毛坯,两梯六户,有,2021-11-04,商品房,2016-05-27,普通住宅,满五年,共有,"
                                有抵押 63万元 抵押贷款的
                              ",已上传房本照片,,,,
1692,['华兴家园 3室2厅 西南'],89,7364,华兴家园,双流,东升镇,3室2厅1厨2卫,低楼层 (共6层),120.86㎡,平层,暂无数据,板楼,西南,砖混结构,简装,一梯两户,暂无数据,2021-02-23,商品房,2009-06-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1693,['南丽湾 3室2厅 西南'],147,12626,南丽湾,双流,航空港,3室2厅1厨2卫,低楼层 (共6层),116.43㎡,平层,暂无数据,板楼,西南,混合结构,简装,一梯两户,无,2021-04-13,商品房,2007-06-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1694,['保利叶语 3室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,保利叶语,双流,华府,3室1厅1厨1卫,高楼层 (共32层),90.17㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2021-10-01,商品房,2017-10-11,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,,,,
1695,['保利叶语 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,保利叶语,双流,华府,3室2厅1厨2卫,中楼层 (共32层),93.06㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯五户,有,2021-07-08,商品房,2017-12-21,普通住宅,满两年,非共有,"
                                有抵押 30万元 建设银行
                              ",已上传房本照片,,,,
1696,['学府嘉苑 3室1厅 南'],158,11966,学府嘉苑,双流,航空港,3室1厅1厨2卫,高楼层 (共6层),132.05㎡,跃层,暂无数据,板楼,南,钢混结构,精装,一梯两户,无,2021-04-24,商品房,2018-02-01,普通住宅,满两年,非共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片,,,,
1697,['北京城建龙樾湾 4室2厅 南 北'],暂无数据,首付及贷款情况请咨询经纪人,北京城建龙樾湾,双流,蛟龙港,4室2厅1厨2卫,低楼层 (共5层),274.47㎡,跃层,暂无数据,板楼,南 北,钢混结构,精装,一梯四户,有,2021-11-08,商品房,2018-08-24,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1698,['棠湖泊林城 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,棠湖泊林城,双流,华府,3室2厅1厨2卫,高楼层 (共33层),106.52㎡,平层,86.65㎡,板塔结合,南,钢混结构,精装,两梯五户,有,2021-01-30,商品房,2017-09-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1699,['成都国韵村 4室2厅 西'],225,18466,成都国韵村,双流,蛟龙港,4室2厅1厨2卫,低楼层 (共13层),121.85㎡,平层,101.94㎡,塔楼,西,钢混结构,精装,两梯四户,有,2021-04-17,商品房,2016-04-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1700,['温哥华花园六期 3室2厅 南'],152,14994,温哥华花园六期,双流,航空港,3室2厅1厨2卫,高楼层 (共16层),101.38㎡,平层,87.84㎡,塔楼,南,钢混结构,简装,两梯八户,有,2021-07-08,商品房,2015-09-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1701,['王府锦苑 4室2厅 东北'],159,10984,王府锦苑,双流,航空港,4室2厅1厨2卫,高楼层 (共6层),144.76㎡,跃层,129.03㎡,板楼,东北,混合结构,其他,一梯两户,无,2021-04-11,商品房,2010-03-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1702,['华鑫家苑 4室2厅 东南'],110,6852,华鑫家苑,双流,东升镇,4室2厅1厨2卫,高楼层 (共6层),160.56㎡,错层,160.56㎡,板楼,东南,未知结构,精装,一梯两户,无,2020-11-14,商品房,2017-11-13,普通住宅,满两年,共有,"
                                有抵押 邮政银行 客户偿还
                              ",已上传房本照片,,,,
1703,['学府嘉苑 3室2厅 东'],130,10202,学府嘉苑,双流,航空港,3室2厅1厨2卫,中楼层 (共6层),127.43㎡,平层,暂无数据,板楼,东,混合结构,简装,一梯两户,无,2021-11-03,商品房,2010-12-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1704,['哥德堡 3室1厅 南'],124,12479,哥德堡,双流,公兴,3室1厅1厨1卫,低楼层 (共33层),99.37㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,五梯十二户,有,2021-05-31,商品房,2019-04-30,普通住宅,满两年,共有,"
                                有抵押
                              ",已上传房本照片,,,,
1705,['翰林上岛 3室1厅 西南'],165,15307,翰林上岛,双流,航空港,3室1厅1厨2卫,中楼层 (共16层),107.8㎡,平层,89.01㎡,塔楼,西南,钢混结构,精装,两梯七户,有,2020-09-21,商品房,2010-07-19,普通住宅,满五年,非共有,"
                                有抵押 100万元 交通银行 客户偿还
                              ",已上传房本照片,,,,
1706,['欧城雅典 3室2厅 西南'],200,15030,欧城雅典,双流,东升镇,3室2厅1厨2卫,高楼层 (共11层),133.07㎡,跃层,116.29㎡,板楼,西南,钢混结构,简装,两梯六户,有,2021-05-20,商品房,2017-05-27,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,
1707,['四季金悦 4室2厅 北'],195,18398,四季金悦,双流,蛟龙港,4室2厅1厨2卫,高楼层 (共12层),105.99㎡,平层,87.75㎡,板塔结合,北,框架结构,精装,两梯六户,有,2021-10-19,商品房,2019-02-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1708,['纬度18 3室2厅 东南'],169,12817,纬度18,双流,东升镇,3室2厅1厨2卫,中楼层 (共7层),131.86㎡,平层,暂无数据,板楼,东南,钢混结构,精装,一梯两户,无,2021-09-16,商品房,2005-09-16,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1709,['雨竹居 3室2厅 东北'],133,9515,雨竹居,双流,东升镇,3室2厅1厨2卫,中楼层 (共6层),139.78㎡,错层,135㎡,板楼,东北,混合结构,精装,一梯两户,无,2021-11-20,商品房,2007-11-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1710,['四季金悦 4室2厅 北'],195,18398,四季金悦,双流,蛟龙港,4室2厅1厨2卫,高楼层 (共12层),105.99㎡,平层,87.75㎡,板塔结合,北,框架结构,精装,两梯六户,有,2021-10-19,商品房,2019-02-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1711,['温哥华南苑 3室2厅 南'],150,15679,温哥华南苑,双流,航空港,3室2厅1厨1卫,低楼层 (共17层),95.67㎡,平层,78.22㎡,板塔结合,南,钢混结构,简装,两梯五户,有,2021-10-13,商品房,2014-09-03,普通住宅,满五年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,,,,
1712,['棠湖泊林城 3室1厅 北'],暂无数据,首付及贷款情况请咨询经纪人,棠湖泊林城,双流,华府,3室1厅1厨2卫,低楼层 (共33层),107.18㎡,平层,暂无数据,板塔结合,北,钢混结构,精装,两梯五户,有,2021-10-26,商品房,2017-09-22,普通住宅,满两年,非共有,"
                                有抵押 70万元 客户偿还
                              ",已上传房本照片,,,,
1713,['警馨苑 3室2厅 南 北'],160,13251,警馨苑,双流,航空港,3室2厅1厨2卫,低楼层 (共18层),120.75㎡,平层,暂无数据,塔楼,南 北,钢混结构,其他,两梯四户,有,2020-11-21,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1714,['温哥华南苑 3室1厅 东'],178,17714,温哥华南苑,双流,航空港,3室1厅1厨1卫,高楼层 (共17层),100.49㎡,平层,85.76㎡,板塔结合,东,钢混结构,精装,两梯六户,有,2021-11-06,商品房,2015-02-04,普通住宅,满五年,非共有,"
                                有抵押 30万元 建行 业主自还
                              ",已上传房本照片,,,,
1715,['蓝光圣菲悦城二期 3室1厅 北'],暂无数据,首付及贷款情况请咨询经纪人,蓝光圣菲悦城二期,双流,航空港,3室1厅1厨1卫,高楼层 (共20层),77.41㎡,平层,60.97㎡,塔楼,北,框架结构,精装,两梯七户,有,2021-07-23,商品房,2018-04-13,普通住宅,满两年,非共有,"
                                有抵押 30万元 客户偿还
                              ",已上传房本照片,,,,
