,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
947,['晶宝塞纳国际 3室2厅 西南'],96,10986,晶宝塞纳国际,郫都,红光,3室2厅1厨2卫,高楼层 (共25层),87.39㎡,平层,暂无数据,塔楼,西南,框架结构,毛坯,两梯五户,有,2021-12-14,商品房,2019-06-14,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,
948,['万科城 3室1厅 东南'],156,16873,万科城,郫都,成外,3室1厅1厨2卫,中楼层 (共24层),92.46㎡,平层,暂无数据,塔楼,东南,钢混结构,精装,两梯八户,有,2021-12-14,商品房,2019-04-25,普通住宅,满两年,共有,"
                                有抵押 47万元 中国建设银行
                              ",已上传房本照片,,,,
949,['弘福逸居 1室1厅 南'],40.8,7851,弘福逸居,郫都,郫县城区,1室1厅1厨1卫,高楼层 (共7层),51.97㎡,平层,暂无数据,暂无数据,南,未知结构,简装,一梯一户,暂无数据,2021-12-21,商品房,2019-06-20,普通住宅,满两年,非共有,"
                                有抵押 8万元 业主自还
                              ",已上传房本照片,,,,
950,['上河苑 2室1厅 东南'],52,7959,上河苑,郫都,郫县城区,2室1厅1厨1卫,高楼层 (共18层),65.34㎡,平层,暂无数据,塔楼,东南,钢混结构,其他,两梯六户,有,2021-12-24,商品房,2018-10-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
951,['傲城 4室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,傲城,郫都,犀浦,4室2厅1厨2卫,低楼层 (共31层),116.53㎡,平层,暂无数据,板塔结合,东南,框架结构,精装,两梯六户,有,2021-12-13,商品房,2015-01-04,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
952,['花样年龙年中心三期 4室1厅 西南'],150,16387,花样年龙年中心三期,郫都,郫县城区,4室1厅1厨3卫,高楼层 (共4层),91.54㎡,跃层,暂无数据,板塔结合,西南,框架结构,简装,一梯一户,暂无数据,2021-11-28,商品房,2020-05-09,普通住宅,未满两年,非共有,"
                                有抵押
                              ",已上传房本照片,,,,
953,['今日花园 3室2厅 南'],120,9137,今日花园,郫都,犀浦,3室2厅1厨2卫,低楼层 (共6层),131.34㎡,错层,117.93㎡,板楼,南,砖混结构,简装,一梯两户,无,2019-02-21,商品房,2005-02-09,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
954,['府河御景 4室2厅 南'],138.5,8661,府河御景,郫都,犀浦,4室2厅1厨2卫,中楼层 (共6层),159.93㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯两户,无,2019-06-19,商品房,2019-11-14,普通住宅,满两年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片,,,,
955,['银丰园二区 3室2厅 东南 西北'],110,8225,银丰园二区,郫都,橡树湾,3室2厅1厨2卫,低楼层 (共7层),133.74㎡,平层,暂无数据,板楼,东南 西北,砖混结构,精装,一梯四户,无,2019-04-10,商品房,2007-01-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
956,['攀交花园 3室1厅 东南'],145,10114,攀交花园,郫都,犀浦,3室1厅1厨2卫,中楼层 (共6层),143.37㎡,错层,130.95㎡,板塔结合,东南,钢混结构,毛坯,一梯四户,无,2021-11-08,商品房,2014-02-17,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
