,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型
328,['正基城市主场 2室1厅 东'],114,18197,正基城市主场,武侯,五大花园,2室1厅1厨1卫,低楼层 (共20层),62.65㎡,平层,49.07㎡,板塔结合,东,框架结构,精装,三梯八户,有,2021-07-04,商品房,2012-03-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
329,['泊景湾 2室1厅 东南'],189,21926,泊景湾,武侯,龙湾,2室1厅1厨1卫,高楼层 (共18层),86.2㎡,平层,72.18㎡,板楼,东南,框架结构,精装,两梯四户,有,2021-06-16,商品房,2010-04-01,普通住宅,满五年,非共有,"
                                有抵押 10万元 约18万 客户偿还
                              ",已上传房本照片,
330,['菊乐路98号 1室1厅 南'],53,10603,菊乐路98号,武侯,双楠,1室1厅1厨1卫,中楼层 (共7层),49.99㎡,平层,49.99㎡,板塔结合,南,钢混结构,毛坯,一梯三户,无,2021-10-27,商品房,2012-07-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
331,['正基城市主场 2室1厅 东'],114,18197,正基城市主场,武侯,五大花园,2室1厅1厨1卫,低楼层 (共20层),62.65㎡,平层,49.07㎡,板塔结合,东,框架结构,精装,三梯八户,有,2021-07-04,商品房,2012-03-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
332,['鹭岛国际四期 1室0厅 东南'],90,17459,鹭岛国际四期,武侯,外双楠,1室0厅1厨1卫,中楼层 (共18层),51.55㎡,平层,41.7㎡,塔楼,东南,框架结构,精装,三梯十九户,有,2021-10-12,商品房,2013-10-16,普通住宅,满五年,非共有,"
                                有抵押 2万元
                              ",已上传房本照片,
333,['新巢小区一期 1室1厅 西南'],62,14720,新巢小区一期,武侯,广福桥,1室1厅1厨1卫,中楼层 (共10层),42.12㎡,平层,42.12㎡,板楼,西南,框架结构,简装,两梯二十九户,有,2021-10-07,商品房,2005-03-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
334,['远鸿方程式 2室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,远鸿方程式,武侯,外双楠,2室1厅1厨1卫,低楼层 (共9层),72.68㎡,平层,暂无数据,板楼,东南,框架结构,精装,一梯四户,有,2021-09-07,商品房,2006-07-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
335,['正黄上岭 2室2厅 南'],168,23766,正黄上岭,武侯,川音,2室2厅1厨1卫,高楼层 (共22层),70.69㎡,平层,53.39㎡,板塔结合,南,框架结构,精装,两梯八户,有,2021-07-16,商品房,2016-08-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
336,['楠宝石 2室1厅 东南'],93,14169,楠宝石,武侯,双楠,2室1厅1厨1卫,高楼层 (共15层),65.64㎡,平层,53.17㎡,板楼,东南,框架结构,简装,两梯八户,有,2020-12-06,商品房,2017-11-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
337,['玉林下横巷6号 2室1厅 南 北'],72,11628,玉林下横巷6号,武侯,玉林,2室1厅1厨1卫,中楼层 (共6层),61.92㎡,平层,暂无数据,板楼,南 北,砖混结构,毛坯,一梯两户,无,2021-07-17,商品房,2008-07-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
338,['双楠家园 2室1厅 东'],138.4,13744,双楠家园,武侯,双楠,2室1厅1厨1卫,高楼层 (共12层),100.7㎡,平层,85.01㎡,塔楼,东,框架结构,精装,两梯六户,有,2020-12-07,商品房,2010-10-05,普通住宅,满五年,共有,"
                                有抵押 20万元 农行 业主自还
                              ",已上传房本照片,
339,['交大花园武侯小区 2室1厅 东南'],85,10830,交大花园武侯小区,武侯,五大花园,2室1厅1厨1卫,中楼层 (共7层),78.49㎡,平层,暂无数据,板楼,东南,混合结构,简装,一梯四户,无,2021-10-28,商品房,2001-10-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
340,['丽景天成 2室1厅 南'],129.8,17125,丽景天成,武侯,华西,2室1厅1厨1卫,中楼层 (共22层),75.8㎡,平层,50.04㎡,板塔结合,南,框架结构,精装,六梯十九户,有,2021-03-07,商品房,2016-12-04,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
341,['上道西城 3室2厅 东'],148,16336,上道西城,武侯,草金立交,3室2厅1厨2卫,低楼层 (共11层),90.6㎡,平层,79.79㎡,板塔结合,东,钢混结构,精装,两梯四户,有,2021-07-03,商品房,2011-04-20,普通住宅,满五年,非共有,"
                                有抵押 3万元 业主自还
                              ",已上传房本照片,
342,['楠庭理想 1室1厅 西北'],87,13740,楠庭理想,武侯,红牌楼,1室1厅1厨1卫,中楼层 (共14层),63.32㎡,平层,48.9㎡,板楼,西北,框架结构,精装,两梯十八户,有,2021-03-12,商品房,2016-05-26,普通住宅,满五年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,
343,['保利花园四期 2室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,保利花园四期,武侯,新双楠,2室2厅1厨1卫,低楼层 (共14层),73.36㎡,平层,60.12㎡,板塔结合,东南,钢混结构,精装,两梯五户,有,2021-10-24,商品房,2015-11-20,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
344,['竹韵天府 2室2厅 东南'],102,12997,竹韵天府,武侯,武侯立交,2室2厅1厨1卫,低楼层 (共11层),78.48㎡,平层,66.12㎡,塔楼,东南,框架结构,简装,两梯八户,有,2021-11-02,商品房,2008-03-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
345,['武侯国际花园 2室2厅 西北'],108,16214,武侯国际花园,武侯,红牌楼,2室2厅1厨1卫,中楼层 (共13层),66.61㎡,平层,56.93㎡,板楼,西北,框架结构,简装,两梯六户,有,2021-09-12,商品房,2015-10-20,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
346,['泊景湾 2室1厅 东南'],189,21926,泊景湾,武侯,龙湾,2室1厅1厨1卫,高楼层 (共18层),86.2㎡,平层,72.18㎡,板楼,东南,框架结构,精装,两梯四户,有,2021-06-16,商品房,2010-04-01,普通住宅,满五年,非共有,"
                                有抵押 10万元 约18万 客户偿还
                              ",已上传房本照片,
347,['保利花园四期 2室1厅 南 西北'],暂无数据,首付及贷款情况请咨询经纪人,保利花园四期,武侯,新双楠,2室1厅1厨1卫,中楼层 (共17层),63.54㎡,平层,49.64㎡,板塔结合,南 西北,钢混结构,精装,两梯四户,有,2021-08-02,商品房,2016-10-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
348,['燃灯寺北街42号 2室2厅 南'],96.5,12777,燃灯寺北街42号,武侯,双楠,2室2厅1厨1卫,低楼层 (共7层),75.53㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯两户,无,2021-09-21,商品房,2009-02-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
349,['和谐公寓 1室1厅 东南'],95,16797,和谐公寓,武侯,川音,1室1厅1厨1卫,中楼层 (共15层),56.56㎡,平层,41.68㎡,塔楼,东南,框架结构,精装,三梯九户,有,2021-09-25,商品房,2011-05-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
350,['龙腾花园 2室1厅 南'],110,14271,龙腾花园,武侯,龙湾,2室1厅1厨1卫,低楼层 (共11层),77.08㎡,平层,65.32㎡,板楼,南,钢混结构,毛坯,一梯四户,有,2021-07-13,拆迁安置房,2011-11-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
351,['中华名园三期D区 2室2厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,中华名园三期D区,武侯,武侯立交,2室2厅1厨1卫,高楼层 (共16层),87.25㎡,平层,74.91㎡,板楼,西北,钢混结构,毛坯,两梯四户,有,2020-11-22,商品房,2013-05-18,普通住宅,满五年,非共有,"
                                有抵押 45万元 业主自还
                              ",已上传房本照片,
352,['鹭岛国际四期 1室1厅 东'],88,17245,鹭岛国际四期,武侯,外双楠,1室1厅1厨1卫,高楼层 (共18层),51.03㎡,平层,41.28㎡,塔楼,东,框架结构,精装,三梯十九户,有,2021-08-11,商品房,2014-02-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
353,['诗锦苑 2室1厅 东南'],66,14191,诗锦苑,武侯,新双楠,2室1厅1厨1卫,低楼层 (共11层),46.51㎡,平层,34.45㎡,板塔结合,东南,钢混结构,精装,一梯十七户,有,2021-12-08,拆迁安置房,2021-12-03,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
354,['双楠港汇广场 2室1厅 西南'],91,13879,双楠港汇广场,武侯,红牌楼,2室1厅1厨1卫,中楼层 (共5层),65.57㎡,平层,暂无数据,塔楼,西南,框架结构,精装,两梯二十三户,有,2021-10-03,商品房,2018-08-16,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片,
355,['宏景园 2室1厅 东南'],102,13990,宏景园,武侯,红牌楼,2室1厅1厨1卫,中楼层 (共7层),72.91㎡,平层,暂无数据,板楼,东南,框架结构,简装,一梯四户,无,2021-09-23,商品房,2018-04-05,普通住宅,满两年,非共有,"
                                有抵押 72万元 业主自还
                              ",已上传房本照片,
356,['加怡名城 1室1厅 南'],75,14595,加怡名城,武侯,龙湾,1室1厅1厨1卫,中楼层 (共17层),51.39㎡,平层,39.99㎡,板塔结合,南,框架结构,精装,四梯二十五户,有,2021-09-29,商品房,2010-09-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
357,['楠庭理想 1室1厅 东南'],86,14476,楠庭理想,武侯,红牌楼,1室1厅1厨1卫,中楼层 (共14层),59.41㎡,平层,暂无数据,板楼,东南,框架结构,精装,两梯十八户,有,2021-11-18,商品房,2017-11-09,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,
358,['魏玛国际 1室1厅 北'],90,18432,魏玛国际,武侯,火车南站,1室1厅1厨1卫,高楼层 (共32层),48.83㎡,平层,暂无数据,板塔结合,北,框架结构,简装,三梯六户,有,2021-05-02,商品房,2017-12-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
359,['菊园 1室1厅 东'],41,10097,菊园,武侯,双楠,1室1厅1厨1卫,高楼层 (共7层),40.61㎡,平层,40.61㎡,板楼,东,砖混结构,简装,一梯四户,无,2021-09-30,商品房,2013-07-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
360,['皇家花园 2室1厅 南'],69.5,10018,皇家花园,武侯,五大花园,2室1厅1厨1卫,中楼层 (共7层),69.38㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,无,2021-10-31,商品房,2018-01-05,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
361,['楠丽湾 1室0厅 东南'],31,9548,楠丽湾,武侯,红牌楼,1室0厅1厨1卫,中楼层 (共13层),32.47㎡,平层,暂无数据,板塔结合,东南,框架结构,简装,三梯三十六户,有,2021-04-11,商品房,2017-04-28,普通住宅,满两年,非共有,"
                                有抵押 15万元 16 业主自还
                              ",已上传房本照片,
362,['交大花园武侯小区 2室1厅 东'],75,11145,交大花园武侯小区,武侯,五大花园,2室1厅1厨1卫,中楼层 (共7层),67.3㎡,平层,暂无数据,板楼,东,混合结构,简装,一梯四户,无,2021-11-08,商品房,2006-11-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
363,['正基城市主场 2室1厅 东北'],116.6,19273,正基城市主场,武侯,五大花园,2室1厅1厨1卫,低楼层 (共20层),60.5㎡,平层,47.96㎡,板塔结合,东北,框架结构,精装,三梯十户,有,2021-04-20,商品房,2012-03-23,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
364,['置信巴厘岛A区 3室1厅 西南'],183,20796,置信巴厘岛A区,武侯,武侯立交,3室1厅1厨1卫,低楼层 (共13层),88㎡,平层,暂无数据,板楼,西南,钢混结构,精装,两梯五户,有,2021-11-30,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 100万元 中信 客户偿还
                              ",未上传房本照片,
365,['月光诚品 1室1厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,月光诚品,武侯,红牌楼,1室1厅1厨1卫,高楼层 (共12层),53.59㎡,平层,暂无数据,板楼,西北,框架结构,简装,两梯五户,有,2021-11-25,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                有抵押 15万元
                              ",未上传房本照片,
366,['天邑华庭 2室1厅 东南'],69,13352,天邑华庭,武侯,丽都,2室1厅1厨1卫,低楼层 (共6层),51.68㎡,平层,46.39㎡,板楼,东南,砖混结构,简装,一梯四户,无,2021-08-10,商品房,2010-01-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
367,['成都A区 3室1厅 东南'],160,20619,成都A区,武侯,高升桥,3室1厅1厨1卫,高楼层 (共19层),77.6㎡,平层,64.91㎡,板塔结合,东南,钢混结构,简装,两梯九户,有,2021-10-26,商品房,2013-11-04,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
368,['一椽坊 3室2厅 东南'],135.8,11500,一椽坊,武侯,外双楠,3室2厅1厨2卫,低楼层 (共7层),118.09㎡,平层,暂无数据,板楼,东南,框架结构,精装,一梯三户,无,2021-09-25,商品房,2002-09-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
369,['交大万通格外 2室2厅 东南'],170,22452,交大万通格外,武侯,丽都,2室2厅1厨1卫,高楼层 (共18层),75.72㎡,平层,暂无数据,板楼,东南,钢混结构,精装,两梯八户,有,2021-10-18,商品房,2013-10-05,普通住宅,满五年,非共有,"
                                有抵押 80万元 建设银行 业主自还
                              ",已上传房本照片,
370,['优客联邦三期 2室1厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,优客联邦三期,武侯,丽都,2室1厅1厨1卫,中楼层 (共18层),74.63㎡,平层,暂无数据,板楼,西南,框架结构,精装,四梯十八户,有,2021-08-04,商品房,2018-10-17,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,
371,['和鸿天府金花 3室1厅 西南'],135,15436,和鸿天府金花,武侯,簇桥,3室1厅1厨1卫,中楼层 (共16层),87.46㎡,平层,74.01㎡,塔楼,西南,钢混结构,精装,两梯四户,有,2021-06-23,商品房,2009-12-18,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
372,['蓝光金楠府 3室2厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,蓝光金楠府,武侯,五大花园,3室2厅1厨1卫,中楼层 (共16层),94.67㎡,平层,76.91㎡,板楼,东北,钢混结构,精装,三梯八户,有,2021-03-08,商品房,2014-12-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
373,['顺江新苑A区 3室1厅 南'],105,11778,顺江新苑A区,武侯,武侯立交,3室1厅1厨1卫,中楼层 (共6层),89.15㎡,平层,79.94㎡,板楼,南,混合结构,简装,一梯四户,无,2021-10-17,商品房,2015-07-02,普通住宅,满五年,共有,"
                                有抵押 20万元
                              ",已上传房本照片,
374,['天际首府 3室2厅 西南'],204,16265,天际首府,武侯,草金立交,3室2厅1厨2卫,高楼层 (共12层),125.43㎡,平层,109.78㎡,塔楼,西南,框架结构,精装,一梯三户,有,2021-06-19,商品房,2014-08-26,普通住宅,满五年,共有,"
                                有抵押 40万元 工商银行 业主自还
                              ",已上传房本照片,
375,['中筑西府兰庭 3室1厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,中筑西府兰庭,武侯,新双楠,3室1厅1厨1卫,中楼层 (共16层),72.87㎡,平层,60.77㎡,板塔结合,西北,框架结构,精装,两梯六户,有,2021-10-16,商品房,2016-09-07,普通住宅,满五年,共有,"
                                有抵押 28万元
                              ",已上传房本照片,
376,['优地B区 2室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,优地B区,武侯,丽都,2室1厅1厨1卫,高楼层 (共17层),72.67㎡,平层,60.31㎡,板楼,东南,框架结构,简装,两梯六户,有,2021-07-14,商品房,2010-04-06,普通住宅,满五年,非共有,"
                                有抵押 77万元 贵阳银行 金融公司垫资
                              ",已上传房本照片,
377,['优客联邦三期 1室1厅 东北'],100,18481,优客联邦三期,武侯,丽都,1室1厅1厨1卫,高楼层 (共18层),54.11㎡,平层,暂无数据,板楼,东北,钢混结构,精装,三梯十二户,有,2021-10-20,商品房,2019-04-04,普通住宅,满两年,非共有,"
                                有抵押 18万元 农行 业主自还
                              ",已上传房本照片,
378,['交大万通格外 2室1厅 西南'],155,22390,交大万通格外,武侯,丽都,2室1厅1厨1卫,高楼层 (共18层),69.23㎡,平层,54.26㎡,板楼,西南,钢混结构,精装,两梯四户,有,2021-10-18,商品房,2012-12-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
379,['西郡香林 3室1厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,西郡香林,武侯,五大花园,3室1厅1厨1卫,中楼层 (共11层),96.45㎡,平层,84.12㎡,板楼,东北,砖混结构,精装,两梯四户,有,2021-10-20,商品房,2016-11-16,普通住宅,满五年,共有,"
                                有抵押 45万元 建设银行 业主自还
                              ",已上传房本照片,
380,['高升桥北街6号 2室1厅 东北'],93,10526,高升桥北街6号,武侯,高升桥,2室1厅1厨1卫,高楼层 (共7层),88.36㎡,平层,暂无数据,板楼,东北,砖混结构,简装,一梯两户,无,2021-03-14,商品房,2011-09-19,普通住宅,满五年,共有,"
                                有抵押 15万元 中国邮政银行 业主自还
                              ",已上传房本照片,
381,['红牌楼北街21号 2室1厅 东南'],68.5,12512,红牌楼北街21号,武侯,高升桥,2室1厅1厨1卫,高楼层 (共7层),54.75㎡,平层,54.75㎡,板楼,东南,砖混结构,精装,一梯三户,无,2021-10-02,商品房,2015-07-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
382,['鹭岛国际一二期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,鹭岛国际一二期,武侯,外双楠,3室2厅1厨2卫,低楼层 (共11层),132.52㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,有,2021-08-06,商品房,2018-08-15,普通住宅,满两年,非共有,"
                                有抵押 100万元 建设 业主自还
                              ",已上传房本照片,
383,['成都A区 2室1厅 西南'],160,21050,成都A区,武侯,高升桥,2室1厅1厨1卫,低楼层 (共18层),76.01㎡,平层,62.03㎡,板塔结合,西南,钢混结构,精装,两梯八户,有,2021-11-02,商品房,2014-04-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
384,['棕竹街5号 2室1厅 南'],85,12653,棕竹街5号,武侯,棕北,2室1厅1厨1卫,中楼层 (共7层),67.18㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯四户,无,2021-06-22,商品房,2006-06-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
385,['馨和苑(武侯) 2室1厅 南'],56,10182,馨和苑(武侯),武侯,双楠,2室1厅1厨1卫,高楼层 (共7层),55㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯三户,无,2021-11-09,商品房,2014-08-13,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
386,['成都A区 1室1厅 东'],89,17353,成都A区,武侯,高升桥,1室1厅1厨1卫,高楼层 (共21层),51.29㎡,平层,41.96㎡,板塔结合,东,钢混结构,精装,两梯九户,有,2021-08-20,商品房,2014-11-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
387,['兴元丽园B区 2室2厅 南'],76,11894,兴元丽园B区,武侯,武侯立交,2室2厅1厨1卫,高楼层 (共11层),63.9㎡,平层,暂无数据,板塔结合,南,框架结构,简装,一梯四户,有,2021-12-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
388,['鹭岛国际一二期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,鹭岛国际一二期,武侯,外双楠,3室2厅1厨2卫,高楼层 (共9层),157.25㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,有,2021-11-10,商品房,2008-06-01,普通住宅,满五年,非共有,"
                                有抵押 200万元 业主自还
                              ",已上传房本照片,
389,['巴黎阳光 3室2厅 南 北'],243,15783,巴黎阳光,武侯,双楠,3室2厅1厨2卫,低楼层 (共12层),153.97㎡,暂无数据,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,有,2021-11-05,商品房,2002-05-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
390,['成都A区 1室1厅 东'],89,17353,成都A区,武侯,高升桥,1室1厅1厨1卫,高楼层 (共21层),51.29㎡,平层,41.96㎡,板塔结合,东,钢混结构,精装,两梯九户,有,2021-08-20,商品房,2014-11-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
391,['武侯民居 3室1厅 东'],95,11250,武侯民居,武侯,武侯立交,3室1厅1厨1卫,高楼层 (共6层),84.45㎡,平层,74.1㎡,板楼,东,混合结构,简装,一梯两户,无,2020-06-26,商品房,2006-06-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
392,['兴元丽园B区 2室2厅 南'],76,11894,兴元丽园B区,武侯,武侯立交,2室2厅1厨1卫,高楼层 (共11层),63.9㎡,平层,暂无数据,板塔结合,南,框架结构,简装,一梯四户,有,2021-12-16,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
393,['高升桥南街3号 2室2厅 南'],88,10878,高升桥南街3号,武侯,高升桥,2室2厅1厨1卫,高楼层 (共7层),80.9㎡,平层,80.9㎡,板楼,南,砖混结构,简装,一梯两户,无,2021-08-28,商品房,2009-11-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,
394,['鹭岛国际一二期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,鹭岛国际一二期,武侯,外双楠,3室2厅1厨2卫,高楼层 (共9层),157.25㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,有,2021-11-10,商品房,2008-06-01,普通住宅,满五年,非共有,"
                                有抵押 200万元 业主自还
                              ",已上传房本照片,
395,['龙爪小区东1号院 3室1厅 东'],103,11653,龙爪小区东1号院,武侯,外双楠,3室1厅1厨1卫,高楼层 (共7层),88.39㎡,平层,暂无数据,板楼,东,混合结构,精装,一梯三户,无,2021-09-01,商品房,2017-03-22,普通住宅,满两年,非共有,"
                                有抵押 30万元 业主自还
                              ",已上传房本照片,
396,['尚房国际公馆 3室1厅 南 北'],205,18856,尚房国际公馆,武侯,草金立交,3室1厅1厨2卫,中楼层 (共18层),108.72㎡,平层,88.76㎡,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-08-27,商品房,2013-10-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,
397,['交大万通格外 2室1厅 东北'],142,22430,交大万通格外,武侯,丽都,2室1厅1厨1卫,高楼层 (共18层),63.31㎡,平层,暂无数据,板楼,东北,钢混结构,精装,两梯四户,有,2021-09-17,商品房,2013-01-03,普通住宅,满五年,非共有,"
                                有抵押 12万元 抵押10多W，可以自还
                              ",已上传房本照片,
398,['新界三期 3室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,新界三期,武侯,红牌楼,3室1厅1厨2卫,中楼层 (共8层),116.2㎡,平层,暂无数据,板楼,东南,框架结构,精装,一梯两户,有,2021-12-07,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,
399,['蓝光金楠府 3室2厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,蓝光金楠府,武侯,五大花园,3室2厅1厨1卫,高楼层 (共16层),83.41㎡,平层,69.65㎡,塔楼,西北,钢混结构,简装,三梯八户,有,2021-10-10,商品房,2016-04-06,普通住宅,满五年,共有,"
                                有抵押 50万元 成都银行，锦城银行 客户偿还
                              ",已上传房本照片,
400,['月光诚品 3室1厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,月光诚品,武侯,红牌楼,3室1厅1厨1卫,低楼层 (共12层),85.89㎡,平层,暂无数据,板楼,东北,钢混结构,简装,两梯六户,有,2021-03-07,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
401,['棕苑巷5号 3室1厅 南'],95,13230,棕苑巷5号,武侯,棕北,3室1厅1厨1卫,低楼层 (共6层),71.81㎡,平层,71.64㎡,板楼,南,砖混结构,简装,一梯三户,暂无数据,2021-07-04,商品房,2021-06-15,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
402,['城南商住楼 3室2厅 南'],139,11828,城南商住楼,武侯,高升桥,3室2厅1厨1卫,中楼层 (共7层),117.52㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯四户,无,2021-11-13,商品房,暂无数据,普通住宅,暂无数据,非共有,"
                                无抵押
                              ",未上传房本照片,
403,['郭家桥正街3号 3室1厅 南'],98,14203,郭家桥正街3号,武侯,川大,3室1厅1厨1卫,低楼层 (共5层),69㎡,平层,暂无数据,板楼,南,砖混结构,简装,一梯两户,无,2021-09-29,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                无抵押
                              ",未上传房本照片,
404,['顺江新苑A区 3室1厅 东'],90,10096,顺江新苑A区,武侯,武侯立交,3室1厅1厨2卫,低楼层 (共6层),89.15㎡,平层,暂无数据,板楼,东,混合结构,简装,一梯四户,无,2021-06-23,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 47万元 成都农村商业银行股份有限公司中和支行 业主自还
                              ",未上传房本照片,
405,['百吉街52号 1室1厅 南'],53.5,9976,百吉街52号,武侯,双楠,1室1厅1厨1卫,中楼层 (共7层),53.63㎡,平层,53.63㎡,板楼,南,混合结构,毛坯,一梯四户,无,2021-12-09,已购公房,2016-12-12,普通住宅,未满两年,非共有,"
                                有抵押 20万元 工商银行 业主自还
                              ",已上传房本照片,
406,['百花东街52号 1室1厅 东南'],48,10015,百花东街52号,武侯,双楠,1室1厅1厨1卫,中楼层 (共7层),47.93㎡,平层,暂无数据,板塔结合,东南,混合结构,简装,一梯三户,无,2021-12-09,商品房,2021-12-11,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
407,['红牌楼北街21号 2室1厅 东南'],51,9410,红牌楼北街21号,武侯,高升桥,2室1厅1厨1卫,高楼层 (共7层),54.2㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯三户,无,2021-08-01,商品房,2018-11-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,
408,['爱家馨城 2室1厅 东'],暂无数据,首付及贷款情况请咨询经纪人,爱家馨城,武侯,红牌楼,2室1厅1厨1卫,中楼层 (共11层),76.21㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,一梯五户,有,2021-11-15,商品房,2016-07-01,普通住宅,满五年,共有,"
                                有抵押 55万元 金融公司垫资
                              ",已上传房本照片,
409,['纳米爱邸 1室1厅 南'],62,12594,纳米爱邸,武侯,双楠,1室1厅1厨1卫,中楼层 (共17层),49.23㎡,平层,39.26㎡,板塔结合,南,框架结构,精装,三梯二十六户,有,2021-09-22,商品房,2011-05-09,普通住宅,满五年,非共有,"
                                有抵押 18万元
                              ",已上传房本照片,
410,['武侯国际花园 2室2厅 南 北'],152,18750,武侯国际花园,武侯,红牌楼,2室2厅1厨1卫,高楼层 (共13层),81.07㎡,平层,68.29㎡,板楼,南 北,框架结构,精装,两梯八户,有,2021-11-16,商品房,2016-09-27,普通住宅,满五年,共有,"
                                有抵押 42万元 工商银行 金融公司垫资
                              ",已上传房本照片,
