,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,燃气价格,别墅类型
1520,['德馨苑 4室2厅 东南'],430,28249,德馨苑,锦江,川师,4室2厅1厨2卫,低楼层 (共33层),152.22㎡,平层,131.05㎡,板塔结合,东南,钢混结构,毛坯,三梯六户,有,2021-08-14,商品房,2014-05-22,普通住宅,满五年,非共有,"
                                有抵押 简阳农商银行100万，业主自己还
                              ",已上传房本照片,,,,
1521,['皇经花园B区 3室2厅 南'],147,13017,皇经花园B区,锦江,琉璃场,3室2厅1厨2卫,高楼层 (共6层),112.93㎡,跃层,99.76㎡,板楼,南,砖混结构,其他,一梯两户,无,2021-11-01,商品房,2016-12-28,普通住宅,满两年,共有,"
                                有抵押 业主自还
                              ",已上传房本照片,,,,
1522,['东光街15号 3室1厅 西南'],97,11089,东光街15号,锦江,静居寺,3室1厅1厨1卫,高楼层 (共7层),87.48㎡,平层,77.12㎡,板楼,西南,钢混结构,毛坯,一梯三户,暂无数据,2021-06-29,商品房,2015-07-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1523,['莲桂西路98号 1室1厅 东南'],86,12819,莲桂西路98号,锦江,莲花,1室1厅1厨1卫,低楼层 (共7层),67.09㎡,平层,67.09㎡,板楼,东南,混合结构,精装,一梯一户,无,2021-11-03,商品房,2004-04-26,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1524,['东润风景A区 4室2厅 南'],248,19866,东润风景A区,锦江,静居寺,4室2厅1厨1卫,高楼层 (共6层),124.84㎡,跃层,暂无数据,板楼,南,框架结构,精装,一梯三户,无,2020-11-02,商品房,2013-12-27,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1525,['指挥街70号 3室2厅 南 北'],262,36233,指挥街70号,锦江,盐市口,3室2厅1厨1卫,低楼层 (共5层),72.31㎡,平层,72.31㎡,板楼,南 北,混合结构,精装,一梯两户,无,2020-10-30,商品房,2017-09-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1526,['比华利国际城三期 3室1厅 东'],暂无数据,首付及贷款情况请咨询经纪人,比华利国际城三期,锦江,川师,3室1厅1厨1卫,中楼层 (共22层),79.21㎡,平层,63.68㎡,板楼,东,钢混结构,简装,三梯六户,有,2021-09-07,商品房,2015-11-25,普通住宅,满五年,非共有,"
                                有抵押 40万元 成都银行 业主自还
                              ",已上传房本照片,,,,
1527,['宏济新路95号 3室1厅 南'],81,11412,宏济新路95号,锦江,九眼桥,3室1厅1厨1卫,高楼层 (共6层),70.98㎡,平层,65㎡,板塔结合,南,砖混结构,简装,一梯两户,无,2021-09-07,已购公房,2002-02-07,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1528,['督院街54号 3室1厅 东'],255,29130,督院街54号,锦江,盐市口,3室1厅1厨1卫,低楼层 (共7层),87.54㎡,平层,暂无数据,板楼,东,混合结构,简装,一梯两户,无,2020-04-18,商品房,2003-02-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1529,['翡翠城四期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,翡翠城四期,锦江,东湖,3室2厅1厨1卫,低楼层 (共31层),87.87㎡,平层,66.7㎡,塔楼,南,钢混结构,简装,两梯四户,有,2021-08-05,商品房,2010-07-26,普通住宅,满五年,非共有,"
                                有抵押 120万元 不是房贷，业主客户还款都可
                              ",已上传房本照片,,,,
1530,['华韵天府 4室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,华韵天府,锦江,三圣乡,4室1厅1厨2卫,低楼层 (共34层),89.31㎡,平层,71.04㎡,板塔结合,东南,钢混结构,简装,两梯四户,有,2021-04-14,商品房,2015-05-04,普通住宅,满五年,非共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片,,,,
1531,['华兴上街17号附1号 2室1厅 东南'],63,10655,华兴上街17号附1号,锦江,盐市口,2室1厅1厨1卫,高楼层 (共7层),59.13㎡,平层,暂无数据,板楼,东南,砖混结构,毛坯,一梯三户,无,2020-12-25,商品房,2001-12-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1532,['北顺街55号 3室1厅 西北'],99,13675,北顺街55号,锦江,静居寺,3室1厅1厨1卫,中楼层 (共7层),72.4㎡,平层,暂无数据,板楼,西北,混合结构,其他,一梯四户,无,2020-12-30,商品房,2012-04-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1533,['鑫苑名家二期 3室2厅 东'],280,25285,鑫苑名家二期,锦江,卓锦城,3室2厅1厨2卫,高楼层 (共34层),110.74㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯六户,有,2020-12-19,商品房,2017-07-06,普通住宅,满两年,共有,"
                                有抵押 建设银行70万
                              ",已上传房本照片,,,,
1534,['东升街90号 3室1厅 东'],101,16678,东升街90号,锦江,合江亭,3室1厅1厨1卫,中楼层 (共7层),60.56㎡,平层,57㎡,板塔结合,东,砖混结构,简装,一梯两户,无,2021-03-11,商品房,2003-01-24,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1535,['东光街6号 2室1厅 西南'],91,10049,东光街6号,锦江,静居寺,2室1厅1厨1卫,高楼层 (共7层),90.56㎡,平层,暂无数据,板楼,西南,砖混结构,其他,一梯两户,无,2021-03-16,商品房,2010-03-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1536,['华都美林湾 2室1厅 西南'],222,24844,华都美林湾,锦江,三圣乡,2室1厅1厨1卫,高楼层 (共33层),89.36㎡,平层,70.41㎡,塔楼,西南,框架结构,精装,两梯六户,有,2021-03-19,商品房,2014-06-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1537,['顺江路303号 3室2厅 西南'],99,16503,顺江路303号,锦江,莲花,3室2厅1厨1卫,中楼层 (共7层),59.99㎡,平层,暂无数据,板楼,西南,砖混结构,简装,一梯两户,无,2020-08-11,商品房,2002-05-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1538,['美丽合江 1室1厅 西南 西北'],158,25160,美丽合江,锦江,合江亭,1室1厅1厨1卫,高楼层 (共13层),62.8㎡,平层,49.79㎡,板塔结合,西南 西北,框架结构,精装,一梯六户,有,2021-07-20,商品房,2009-05-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1539,['比华利国际城一期 3室1厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,比华利国际城一期,锦江,川师,3室1厅1厨1卫,中楼层 (共18层),93.96㎡,平层,72.94㎡,塔楼,西南,钢混结构,其他,两梯四户,有,2021-07-31,商品房,2009-09-07,普通住宅,满五年,非共有,"
                                有抵押 8万元 业主自还
                              ",已上传房本照片,,,,
1540,['蓝润V客东都一期 3室1厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,蓝润V客东都一期,锦江,三圣乡,3室1厅1厨1卫,中楼层 (共40层),75.42㎡,平层,暂无数据,塔楼,西南,钢混结构,精装,两梯六户,有,2021-10-03,商品房,2018-07-25,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1541,['西沟头巷 2室1厅 东南'],72,11467,西沟头巷,锦江,盐市口,2室1厅1厨1卫,高楼层 (共6层),62.79㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯两户,暂无数据,2021-03-10,商品房,2007-03-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1542,['建设南村55号 3室1厅 南'],151,13363,建设南村55号,锦江,水碾河,3室1厅1厨1卫,低楼层 (共7层),113㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯两户,无,2021-09-08,商品房,2014-04-14,普通住宅,满五年,非共有,"
                                有抵押 有90万的贷款
                              ",已上传房本照片,,,,
1543,['翡翠城一期 2室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,翡翠城一期,锦江,东湖,2室1厅1厨1卫,低楼层 (共11层),78.52㎡,平层,69.58㎡,板塔结合,东南,框架结构,简装,一梯四户,有,2021-08-08,商品房,2016-10-09,普通住宅,满五年,非共有,"
                                有抵押 几十万 业主自己还
                              ",已上传房本照片,,,,
1544,['SOHO我的寓所 1室1厅 西'],90,20936,SOHO我的寓所,锦江,合江亭,1室1厅1厨1卫,高楼层 (共16层),42.99㎡,平层,暂无数据,塔楼,西,框架结构,精装,三梯二十四户,有,2021-07-20,商品房,2007-08-29,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1545,['比华利国际城一期 4室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,比华利国际城一期,锦江,川师,4室2厅2厨1卫,高楼层 (共32层),155.6㎡,平层,130.14㎡,塔楼,东南,钢混结构,精装,两梯四户,有,2020-09-10,商品房,2016-10-04,普通住宅,满五年,共有,"
                                有抵押 50万元 建设银行 业主自还
                              ",已上传房本照片,,,,
1546,['绿地468云玺四期 3室1厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,绿地468云玺四期,锦江,三圣乡,3室1厅1厨1卫,低楼层 (共39层),88.94㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,两梯四户,有,2021-11-04,商品房,2018-12-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1547,['柳江新居二期 2室2厅 南'],105,14465,柳江新居二期,锦江,琉璃场,2室2厅1厨1卫,高楼层 (共6层),72.59㎡,平层,暂无数据,板楼,南,框架结构,精装,一梯两户,无,2021-09-17,商品房,2017-08-30,普通住宅,满两年,非共有,"
                                有抵押 40万元 业主自还
                              ",已上传房本照片,,,,
