,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,用水类型,用电类型,燃气价格,别墅类型
92,['树蓓巷1号 3室1厅 东南 南'],105,9116,树蓓巷1号,金牛,金牛万达,3室1厅1厨2卫,高楼层 (共7层),115.19㎡,平层,暂无数据,板楼,东南 南,砖混结构,简装,一梯两户,无,2021-10-27,商品房,2013-10-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
93,['全兴宿舍 3室1厅 东南'],86,10388,全兴宿舍,金牛,一品天下,3室1厅1厨1卫,高楼层 (共7层),82.79㎡,平层,82.79㎡,板楼,东南,砖混结构,简装,一梯两户,无,2021-09-25,已购公房,1997-09-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
94,['兴元绿洲一期 3室1厅 西南'],149,15242,兴元绿洲一期,金牛,金府,3室1厅1厨2卫,低楼层 (共22层),97.76㎡,平层,65.72㎡,塔楼,西南,框架结构,精装,两梯八户,有,2021-02-23,商品房,2016-09-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
95,['马鞍山社区 2室2厅 西南'],69,10238,马鞍山社区,金牛,金牛万达,2室2厅1厨1卫,中楼层 (共6层),67.4㎡,平层,暂无数据,板楼,西南,砖混结构,简装,一梯三户,无,2020-11-23,商品房,2000-06-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
96,['欣民苑 3室2厅 南'],119.8,11721,欣民苑,金牛,一品天下,3室2厅1厨1卫,高楼层 (共7层),102.21㎡,平层,暂无数据,板楼,南,砖混结构,精装,一梯四户,无,2021-04-10,商品房,2002-09-17,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
97,['保利公园里 3室1厅 南'],暂无数据,首付及贷款情况请咨询经纪人,保利公园里,金牛,天回镇,3室1厅1厨2卫,高楼层 (共33层),98.31㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,两梯六户,有,2021-06-30,商品房,2019-10-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
98,['九里教师苑 3室1厅 东南'],106,10080,九里教师苑,金牛,营门口,3室1厅1厨1卫,低楼层 (共7层),105.16㎡,平层,105.16㎡,板楼,东南,砖混结构,简装,一梯两户,无,2021-10-20,商品房,2001-09-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
99,['香木林加州国际 3室2厅 北'],188,17670,香木林加州国际,金牛,营门口,3室2厅1厨2卫,高楼层 (共23层),106.4㎡,平层,87.59㎡,板塔结合,北,框架结构,精装,两梯五户,有,2021-10-30,商品房,2013-08-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
100,['保利学府城 3室1厅 东南'],187,19480,保利学府城,金牛,国宾,3室1厅1厨2卫,高楼层 (共31层),96㎡,平层,暂无数据,塔楼,东南,框架结构,毛坯,两梯六户,有,2021-10-05,商品房,2019-10-20,普通住宅,满两年,非共有,"
                                有抵押 50万元 中国银行 客户偿还
                              ",已上传房本照片,,,,
101,['锦城名都 3室2厅 西南'],229,19065,锦城名都,金牛,营门口,3室2厅1厨2卫,高楼层 (共33层),120.12㎡,平层,101.9㎡,板塔结合,西南,钢混结构,精装,两梯七户,有,2021-08-08,商品房,2011-06-01,普通住宅,满五年,非共有,"
                                有抵押 100万元 建设银行 业主自还
                              ",已上传房本照片,,,,
102,['龙门镇二期 3室1厅 东'],176,19295,龙门镇二期,金牛,金牛万达,3室1厅1厨1卫,低楼层 (共32层),91.22㎡,平层,暂无数据,塔楼,东,钢混结构,简装,三梯七户,有,2021-07-24,商品房,2013-01-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
103,['万科金域西岭 3室2厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,万科金域西岭,金牛,国宾,3室2厅1厨2卫,低楼层 (共33层),129.65㎡,平层,112.56㎡,板塔结合,西南,砖混结构,精装,两梯四户,有,2021-09-15,商品房,2012-03-21,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
104,['博雅庭韵 3室1厅 南'],205,13880,博雅庭韵,金牛,蜀汉路,3室1厅1厨2卫,中楼层 (共11层),147.7㎡,错层,暂无数据,板楼,南,框架结构,精装,一梯两户,有,2020-12-18,商品房,2005-03-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
105,['交大智能八期 2室1厅 东南'],89.8,16639,交大智能八期,金牛,营门口,2室1厅1厨1卫,低楼层 (共6层),53.97㎡,平层,44.2㎡,板楼,东南,框架结构,精装,一梯十七户,无,2021-11-22,商品房,2009-03-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
106,['泉水人家二期A区 2室2厅 北'],89,14266,泉水人家二期A区,金牛,华侨城,2室2厅1厨1卫,中楼层 (共16层),62.39㎡,平层,暂无数据,塔楼,北,框架结构,精装,两梯四户,有,2021-11-27,商品房,2019-11-01,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
107,['蜀汉小区 2室1厅 南 北'],58,9641,蜀汉小区,金牛,一品天下,2室1厅1厨1卫,高楼层 (共7层),60.16㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯三户,无,2021-11-24,商品房,2016-06-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
108,['泉水人家二期A区 2室1厅 西'],96,14154,泉水人家二期A区,金牛,华侨城,2室1厅1厨1卫,中楼层 (共16层),67.83㎡,平层,暂无数据,板楼,西,钢混结构,精装,两梯四户,有,2021-12-03,商品房,2019-01-15,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
109,['锦西国际 2室1厅 东'],54,16944,锦西国际,金牛,沙湾,2室1厅1厨1卫,中楼层 (共22层),31.87㎡,跃层,26.26㎡,塔楼,东,框架结构,简装,四梯八十八户,有,2021-12-03,商品房,2014-04-16,普通住宅,满五年,共有,"
                                有抵押 20万元
                              ",已上传房本照片,,,,
110,['田家巷18号 2室1厅 东'],51.5,9607,田家巷18号,金牛,金牛万达,2室1厅1厨1卫,中楼层 (共7层),53.61㎡,平层,暂无数据,板楼,东,砖混结构,简装,一梯四户,无,2021-11-23,已购公房,2014-05-04,普通住宅,满五年,共有,"
                                有抵押 18万元 正常按揭工商银行 客户偿还
                              ",已上传房本照片,,,,
111,['映日荷花 2室1厅 南'],105,13701,映日荷花,金牛,五块石,2室1厅1厨1卫,低楼层 (共22层),76.64㎡,平层,61.48㎡,板塔结合,南,框架结构,简装,三梯四户,有,2021-12-02,商品房,2010-10-12,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
112,['金都苑 2室2厅 南'],112,14391,金都苑,金牛,五块石,2室2厅1厨1卫,中楼层 (共18层),77.83㎡,平层,65.03㎡,板楼,南,框架结构,简装,两梯四户,有,2021-12-03,商品房,2009-11-02,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
113,['泉水人家二期A区 2室2厅 东'],92.6,14843,泉水人家二期A区,金牛,华侨城,2室2厅1厨1卫,高楼层 (共16层),62.39㎡,平层,暂无数据,板楼,东,框架结构,精装,两梯四户,有,2021-11-27,商品房,2011-11-25,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
114,['西西里一期 2室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,西西里一期,金牛,茶店子,2室2厅1厨1卫,中楼层 (共33层),88.24㎡,平层,71.06㎡,板塔结合,南,框架结构,精装,两梯五户,有,2021-11-30,商品房,2010-10-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
115,['泉水人家二期A区 2室1厅 南'],73.2,14597,泉水人家二期A区,金牛,华侨城,2室1厅1厨1卫,高楼层 (共16层),50.15㎡,平层,暂无数据,板楼,南,框架结构,精装,两梯四户,有,2021-11-28,商品房,2019-01-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
116,['水韵天府 3室1厅 北'],175,13630,水韵天府,金牛,五块石,3室1厅1厨2卫,中楼层 (共18层),128.4㎡,平层,暂无数据,板楼,北,框架结构,精装,两梯四户,有,2021-12-18,商品房,暂无数据,普通住宅,暂无数据,共有,"
                                有抵押 100万元 平安银行 客户偿还
                              ",未上传房本照片,,,,
117,['新和理想家 3室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,新和理想家,金牛,一品天下,3室1厅1厨1卫,高楼层 (共18层),116.5㎡,平层,116.5㎡,板塔结合,东南,框架结构,简装,两梯四户,有,2021-11-23,商品房,2007-06-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
118,['蓝光金悦金沙 3室2厅 西南'],152,17914,蓝光金悦金沙,金牛,高家庄,3室2厅1厨1卫,高楼层 (共20层),84.85㎡,平层,暂无数据,板塔结合,西南,钢混结构,精装,两梯六户,有,2021-12-05,商品房,2019-03-05,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
