,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
577,['新军街2号 2室1厅 东南'],30,4996,新军街2号,新都,新都城区,2室1厅1厨1卫,高楼层 (共5层),60.06㎡,平层,暂无数据,板楼,东南,钢混结构,简装,一梯一户,暂无数据,2021-12-14,商品房,2009-12-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
578,['保利大都汇·君汇 4室2厅 东'],暂无数据,首付及贷款情况请咨询经纪人,保利大都汇·君汇,新都,大丰,4室2厅1厨2卫,高楼层 (共34层),122.23㎡,平层,暂无数据,板塔结合,东,钢混结构,其他,两梯六户,有,2021-08-27,商品房,2019-08-31,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
579,['鲜花大院 4室2厅 南'],137,12663,鲜花大院,新都,大丰,4室2厅1厨2卫,高楼层 (共18层),108.19㎡,平层,88.02㎡,塔楼,南,框架结构,精装,一梯五户,有,2021-11-23,商品房,2015-03-09,普通住宅,满五年,共有,"
                                有抵押 60万元
                              ",已上传房本照片,,,,
580,['凤凰山1号 2室2厅 南'],98,12203,凤凰山1号,新都,大丰,2室2厅1厨1卫,高楼层 (共17层),80.31㎡,平层,暂无数据,板塔结合,南,框架结构,简装,两梯六户,有,2021-07-23,商品房,2018-11-17,普通住宅,满两年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片,,,,
581,['聚贤雅丽园 2室2厅 东南'],72,7993,聚贤雅丽园,新都,新都城区,2室2厅1厨1卫,高楼层 (共6层),90.09㎡,平层,暂无数据,板楼,东南,砖混结构,简装,一梯五户,无,2021-12-12,商品房,2010-12-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
582,['龙腾嘉园 3室2厅 南 北'],93,9290,龙腾嘉园,新都,大丰,3室2厅1厨2卫,中楼层 (共16层),100.11㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,有,2021-08-19,商品房,2015-11-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
583,['博海城二期 2室2厅 西'],101,13399,博海城二期,新都,新都城区,2室2厅1厨1卫,低楼层 (共27层),75.38㎡,平层,61.58㎡,塔楼,西,框架结构,简装,两梯五户,有,2021-12-17,商品房,2014-11-19,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
584,['新神风金牛座 2室1厅 东'],暂无数据,首付及贷款情况请咨询经纪人,新神风金牛座,新都,大丰,2室1厅1厨1卫,低楼层 (共21层),76.41㎡,平层,56.57㎡,板塔结合,东,钢混结构,简装,两梯五户,有,2021-12-15,商品房,2016-07-08,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
585,['富豪公馆 2室1厅 南'],107,12249,富豪公馆,新都,新都城区,2室1厅1厨1卫,高楼层 (共29层),87.36㎡,平层,87.36㎡,塔楼,南,钢混结构,精装,三梯六户,有,2021-12-11,商品房,2019-07-19,普通住宅,满两年,非共有,"
                                有抵押 15万元 业主自还
                              ",已上传房本照片,,,,
586,['北欧知识城一期 4室2厅 南'],147,11988,北欧知识城一期,新都,大丰,4室2厅1厨2卫,中楼层 (共34层),122.63㎡,平层,100.55㎡,板塔结合,南,框架结构,精装,三梯六户,有,2021-09-18,商品房,2014-03-21,普通住宅,满五年,共有,"
                                有抵押 25万元
                              ",已上传房本照片,,,,
587,['保利公园198百合郡 4室2厅 东'],168,13176,保利公园198百合郡,新都,保利公园,4室2厅1厨2卫,低楼层 (共18层),127.51㎡,平层,108.86㎡,板塔结合,东,钢混结构,简装,两梯四户,有,2021-11-25,商品房,2012-01-31,普通住宅,满五年,共有,"
                                有抵押 25万元 中国银行 客户偿还
                              ",已上传房本照片,,,,
588,['新都花园二期 3室2厅 南 北'],130,9912,新都花园二期,新都,新都城区,3室2厅1厨2卫,低楼层 (共6层),131.16㎡,平层,118.48㎡,板塔结合,南 北,钢混结构,精装,一梯两户,暂无数据,2021-12-05,商品房,2011-03-11,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
589,['亲和居 3室2厅 东'],93,10182,亲和居,新都,新都城区,3室2厅1厨1卫,高楼层 (共6层),91.34㎡,平层,81.32㎡,板楼,东,砖混结构,精装,一梯两户,暂无数据,2021-11-28,商品房,2010-01-06,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
590,['汇融广场 3室1厅 东'],暂无数据,首付及贷款情况请咨询经纪人,汇融广场,新都,大丰,3室1厅1厨1卫,高楼层 (共38层),85.35㎡,平层,69.44㎡,板塔结合,东,钢混结构,精装,三梯八户,有,2021-12-03,商品房,2016-10-18,普通住宅,满五年,非共有,"
                                有抵押 25万元
                              ",已上传房本照片,,,,
591,['天赐江陵半岛 3室2厅 东南'],126,11229,天赐江陵半岛,新都,毗河,3室2厅1厨2卫,低楼层 (共18层),112.21㎡,平层,暂无数据,塔楼,东南,框架结构,精装,三梯六户,有,2021-12-10,商品房,2012-07-11,普通住宅,满五年,共有,"
                                有抵押 22万元 工行银行 客户偿还
                              ",已上传房本照片,,,,
592,['我的大学 3室2厅 东南'],88,10598,我的大学,新都,新都城区,3室2厅1厨1卫,中楼层 (共27层),83.04㎡,平层,65.8㎡,板塔结合,东南,框架结构,简装,两梯九户,有,2019-03-30,商品房,2016-12-30,普通住宅,满两年,非共有,"
                                有抵押 15万元 业主自还
                              ",已上传房本照片,,,,
593,['富力桃园B区 3室1厅 东北'],160,13757,富力桃园B区,新都,毗河,3室1厅1厨2卫,中楼层 (共32层),116.31㎡,平层,98.16㎡,板塔结合,东北,框架结构,精装,两梯五户,有,2021-12-11,商品房,2015-07-06,普通住宅,满五年,共有,"
                                有抵押 3万元 中国银行 业主自还
                              ",已上传房本照片,,,,
