,标题,总价格,单价,小区,房屋所属市辖区,房屋地址（街道）,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件,别墅类型,用水类型,用电类型,燃气价格
1135,['金茂悦龙山 3室1厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,金茂悦龙山,龙泉驿,大面,3室1厅1厨2卫,高楼层 (共33层),88.52㎡,平层,暂无数据,塔楼,东北,钢混结构,毛坯,两梯五户,有,2021-07-18,商品房,2017-07-13,普通住宅,满两年,非共有,"
                                有抵押 30万元 建设银行 业主自还
                              ",已上传房本照片,,,,
1136,['四季映像 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,四季映像,龙泉驿,大面,3室2厅1厨1卫,中楼层 (共34层),76.04㎡,平层,60.3㎡,板塔结合,南,钢混结构,简装,三梯八户,有,2021-11-09,商品房,2014-04-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1137,['林溪康城 3室1厅 东 东南'],91,11309,林溪康城,龙泉驿,阳光城,3室1厅1厨1卫,中楼层 (共34层),80.47㎡,平层,暂无数据,板塔结合,东 东南,钢混结构,毛坯,三梯七户,有,2021-10-11,商品房,2019-08-19,普通住宅,满两年,共有,"
                                有抵押 25万元 业主自还
                              ",已上传房本照片,,,,
1138,['星光小区 2室1厅 南 北'],57,8178,星光小区,龙泉驿,航天,2室1厅1厨1卫,高楼层 (共7层),69.7㎡,平层,暂无数据,板楼,南 北,砖混结构,其他,一梯两户,无,2021-02-22,商品房,2001-04-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1139,['金山花园(滨河路) 3室1厅 南'],96,7598,金山花园(滨河路),龙泉驿,龙泉驿城区,3室1厅1厨1卫,中楼层 (共6层),126.36㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,一梯三户,无,2021-05-24,商品房,2012-10-29,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1140,['银诚东方国际一期 2室1厅 东'],87,12192,银诚东方国际一期,龙泉驿,西河,2室1厅1厨1卫,中楼层 (共34层),71.36㎡,平层,暂无数据,板楼,东,钢混结构,简装,两梯六户,有,2021-01-30,商品房,2017-07-18,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1141,['金科东方雅郡 3室2厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,金科东方雅郡,龙泉驿,大面,3室2厅1厨1卫,低楼层 (共31层),83.97㎡,平层,暂无数据,板塔结合,西北,钢混结构,精装,三梯八户,有,2021-11-18,商品房,2018-11-10,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1142,['保利紫薇花语 3室2厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,保利紫薇花语,龙泉驿,大面,3室2厅1厨2卫,高楼层 (共34层),83.01㎡,平层,66.81㎡,板塔结合,东北,钢混结构,精装,两梯六户,有,2021-06-20,商品房,2019-06-19,普通住宅,满两年,共有,"
                                有抵押 30万元 中国银行成都锦江支行 业主自还
                              ",已上传房本照片,,,,
1143,['美宸东方 2室1厅 南'],89,11891,美宸东方,龙泉驿,西河,2室1厅1厨1卫,高楼层 (共18层),74.85㎡,平层,暂无数据,板塔结合,南,钢混结构,简装,两梯四户,有,2021-05-20,商品房,2013-12-05,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1144,['世茂城一期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,世茂城一期,龙泉驿,大面,3室2厅1厨2卫,低楼层 (共32层),120.94㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯三户,有,2020-09-08,商品房,2017-03-24,普通住宅,满两年,非共有,"
                                有抵押 51万元 工商 客户偿还
                              ",已上传房本照片,,,,
1145,['镇政府宿舍 4室2厅 南'],120,8081,镇政府宿舍,龙泉驿,龙泉驿城区,4室2厅1厨2卫,高楼层 (共6层),148.5㎡,平层,暂无数据,板楼,南,混合结构,精装,一梯两户,暂无数据,2021-04-03,商品房,2012-06-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1146,['合能珍宝玲珑 3室1厅 东 西'],暂无数据,首付及贷款情况请咨询经纪人,合能珍宝玲珑,龙泉驿,龙泉驿城区,3室1厅1厨2卫,高楼层 (共33层),91.19㎡,平层,暂无数据,塔楼,东 西,钢混结构,精装,两梯六户,有,2021-04-07,商品房,2019-12-19,普通住宅,满两年,非共有,"
                                有抵押 30万元
                              ",已上传房本照片,,,,
1147,['天府逸家一期 3室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,天府逸家一期,龙泉驿,大面,3室1厅1厨1卫,中楼层 (共41层),86.96㎡,平层,暂无数据,板塔结合,东南,钢混结构,简装,三梯八户,有,2021-07-01,商品房,2017-08-04,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1148,['融创天府逸家三期 3室1厅 西南'],158,16935,融创天府逸家三期,龙泉驿,大面,3室1厅1厨2卫,中楼层 (共41层),93.3㎡,平层,暂无数据,塔楼,西南,框架结构,毛坯,两梯六户,有,2021-07-21,商品房,2019-01-29,普通住宅,满两年,非共有,"
                                有抵押 325606万元 农业银行 客户偿还
                              ",已上传房本照片,,,,
1149,['金茂悦龙山 3室2厅 西北'],暂无数据,首付及贷款情况请咨询经纪人,金茂悦龙山,龙泉驿,大面,3室2厅1厨2卫,中楼层 (共33层),95.81㎡,平层,暂无数据,塔楼,西北,钢混结构,精装,两梯五户,有,2020-07-02,商品房,2019-08-22,普通住宅,满两年,非共有,"
                                有抵押 25万元 客户偿还
                              ",已上传房本照片,,,,
1150,['果壳里的城 3室1厅 东 东南'],暂无数据,首付及贷款情况请咨询经纪人,果壳里的城,龙泉驿,龙泉驿城区,3室1厅1厨1卫,高楼层 (共34层),86.47㎡,平层,75.32㎡,塔楼,东 东南,钢混结构,精装,两梯六户,有,2021-08-21,商品房,2013-09-04,普通住宅,满五年,非共有,"
                                有抵押 60万元 中国银行22万，民生银行38万，共60 客户偿还
                              ",已上传房本照片,,,,
1151,['招商依云上城 3室1厅 东南'],108,14109,招商依云上城,龙泉驿,西河,3室1厅1厨1卫,高楼层 (共41层),76.55㎡,平层,暂无数据,板塔结合,东南,钢混结构,毛坯,三梯六户,有,2021-11-23,商品房,2018-06-13,普通住宅,满两年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片,,,,
1152,['御源大湖区 3室2厅 南'],181.6,13933,御源大湖区,龙泉驿,龙泉驿城区,3室2厅1厨2卫,低楼层 (共11层),130.34㎡,平层,108.13㎡,塔楼,南,钢混结构,精装,一梯两户,有,2021-10-17,商品房,2016-10-01,普通住宅,满五年,共有,"
                                有抵押 60万元 建行
                              ",已上传房本照片,,,,
1153,['炜岸城三期 3室2厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,炜岸城三期,龙泉驿,大面,3室2厅1厨2卫,低楼层 (共19层),103.48㎡,平层,103.48㎡,板楼,西南,钢混结构,精装,两梯六户,有,2021-08-27,商品房,2019-04-01,普通住宅,满两年,共有,"
                                有抵押 20万元 业主自还
                              ",已上传房本照片,,,,
1154,['锦上城 3室2厅 南'],165,12462,锦上城,龙泉驿,龙泉驿城区,3室2厅1厨2卫,高楼层 (共11层),132.41㎡,平层,暂无数据,塔楼,南,钢混结构,毛坯,一梯两户,有,2021-08-18,商品房,2013-10-30,普通住宅,满五年,非共有,"
                                有抵押 金融公司垫资
                              ",已上传房本照片,,,,
1155,['兴业街55号 2室1厅 东 西'],71,8988,兴业街55号,龙泉驿,十陵,2室1厅1厨1卫,低楼层 (共6层),79㎡,平层,暂无数据,暂无数据,东 西,未知结构,简装,一梯一户,无,2021-04-03,商品房,2017-11-06,普通住宅,满两年,非共有,"
                                有抵押 24万元
                              ",已上传房本照片,,,,
1156,['御源大湖区 4室1厅 西南'],183,13000,御源大湖区,龙泉驿,龙泉驿城区,4室1厅1厨2卫,中楼层 (共11层),140.78㎡,平层,118.41㎡,塔楼,西南,钢混结构,精装,一梯两户,有,2021-05-23,商品房,2018-04-17,普通住宅,满两年,共有,"
                                有抵押 110万元 中信银行
                              ",已上传房本照片,,,,
1157,['龙城1号 3室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,龙城1号,龙泉驿,大面,3室2厅1厨2卫,高楼层 (共6层),131.46㎡,平层,119.23㎡,板楼,东南,钢混结构,精装,一梯两户,无,2021-11-08,商品房,2015-10-21,普通住宅,满五年,非共有,"
                                有抵押 57万元 邮政银行
                              ",已上传房本照片,,,,
1158,['美宸东方 2室1厅 东南'],95,11631,美宸东方,龙泉驿,西河,2室1厅1厨1卫,中楼层 (共11层),81.68㎡,平层,81.68㎡,板塔结合,东南,钢混结构,毛坯,两梯四户,有,2021-06-28,商品房,2010-09-25,普通住宅,满五年,共有,"
                                有抵押 20万元
                              ",已上传房本照片,,,,
1159,['新城吾悦广场 3室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,新城吾悦广场,龙泉驿,龙泉驿城区,3室1厅1厨2卫,高楼层 (共34层),89㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,两梯六户,有,2021-05-07,商品房,2019-04-29,普通住宅,满两年,非共有,"
                                有抵押 25万元 农业银行 业主自还
                              ",已上传房本照片,,,,
1160,['龙城1号 3室2厅 南 北'],暂无数据,首付及贷款情况请咨询经纪人,龙城1号,龙泉驿,大面,3室2厅1厨2卫,中楼层 (共9层),140.57㎡,平层,124.09㎡,板楼,南 北,钢混结构,简装,一梯两户,有,2020-12-03,商品房,2013-03-12,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1161,['师大现代花园 3室2厅 南 北'],暂无数据,首付及贷款情况请咨询经纪人,师大现代花园,龙泉驿,大面,3室2厅1厨2卫,中楼层 (共17层),121.25㎡,平层,暂无数据,塔楼,南 北,钢混结构,精装,两梯三户,有,2021-07-19,商品房,2012-06-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1162,['皇冠国际社区一期 3室2厅 东'],暂无数据,首付及贷款情况请咨询经纪人,皇冠国际社区一期,龙泉驿,龙泉驿城区,3室2厅1厨2卫,中楼层 (共6层),97.44㎡,平层,暂无数据,塔楼,东,砖混结构,简装,一梯两户,无,2021-07-09,商品房,2010-10-13,普通住宅,满五年,非共有,"
                                有抵押 80万元 业主自还
                              ",已上传房本照片,,,,
1163,['世茂城四期 4室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,世茂城四期,龙泉驿,大面,4室2厅1厨3卫,中楼层 (共6层),143㎡,复式,暂无数据,塔楼,东南,钢混结构,毛坯,一梯六户,有,2020-09-23,商品房,2017-08-16,普通住宅,满两年,共有,"
                                有抵押 60万元 民生银行 业主自还
                              ",已上传房本照片,,,,
1164,['龙湖三千庭 4室1厅 东'],暂无数据,首付及贷款情况请咨询经纪人,龙湖三千庭,龙泉驿,大面,4室1厅1厨2卫,高楼层 (共32层),99.37㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,两梯六户,有,2020-12-09,商品房,2019-04-10,普通住宅,满两年,共有,"
                                有抵押 63万元 招商银行 业主自还
                              ",已上传房本照片,,,,
1165,['利通天鹅堡 4室2厅 东南'],166,9079,利通天鹅堡,龙泉驿,阳光城,4室2厅1厨2卫,高楼层 (共6层),182.84㎡,,暂无数据,,东南,混合结构,毛坯,,,2021-03-21,商品房,2017-03-23,别墅,满两年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片,叠拼,,,
1166,['果壳里的城 3室1厅 西南'],暂无数据,首付及贷款情况请咨询经纪人,果壳里的城,龙泉驿,龙泉驿城区,3室1厅1厨2卫,高楼层 (共34层),87.01㎡,平层,暂无数据,板塔结合,西南,框架结构,精装,两梯六户,有,2021-10-05,商品房,2016-11-03,普通住宅,满五年,非共有,"
                                有抵押 26万元 建行 业主自还
                              ",已上传房本照片,,,,
1167,['翠晨记 3室2厅 南 北'],106.6,10000,翠晨记,龙泉驿,龙泉驿城区,3室2厅1厨2卫,中楼层 (共6层),106.6㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,无,2021-11-05,商品房,2007-04-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1168,['明星花苑 3室2厅 西南'],100,8345,明星花苑,龙泉驿,阳光城,3室2厅1厨2卫,高楼层 (共6层),119.84㎡,平层,109.92㎡,暂无数据,西南,混合结构,精装,一梯四户,无,2021-08-12,商品房,2047-08-30,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1169,['银诚东方国际三期 3室2厅 南'],114.6,11879,银诚东方国际三期,龙泉驿,西河,3室2厅1厨2卫,低楼层 (共34层),96.48㎡,平层,77.16㎡,板塔结合,南,钢混结构,简装,两梯五户,有,2021-10-25,商品房,2018-09-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1170,['城市家园 2室1厅 东南 东'],81.9,10108,城市家园,龙泉驿,西河,2室1厅1厨1卫,中楼层 (共6层),81.03㎡,平层,81㎡,板楼,东南 东,混合结构,精装,一梯三户,暂无数据,2021-06-23,商品房,2018-05-24,普通住宅,满两年,非共有,"
                                有抵押 30万元 中国银行 业主自还
                              ",已上传房本照片,,,,
1171,['银诚东方国际三期 3室2厅 南'],114.6,11879,银诚东方国际三期,龙泉驿,西河,3室2厅1厨2卫,低楼层 (共34层),96.48㎡,平层,77.16㎡,板塔结合,南,钢混结构,简装,两梯五户,有,2021-10-25,商品房,2018-09-20,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1172,['明星花苑 3室2厅 西南'],100,8345,明星花苑,龙泉驿,阳光城,3室2厅1厨2卫,高楼层 (共6层),119.84㎡,平层,109.92㎡,暂无数据,西南,混合结构,精装,一梯四户,无,2021-08-12,商品房,2047-08-30,普通住宅,暂无数据,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1173,['凯德卓锦万黛 4室2厅 东'],暂无数据,首付及贷款情况请咨询经纪人,凯德卓锦万黛,龙泉驿,大面,4室2厅1厨2卫,中楼层 (共39层),118.75㎡,平层,暂无数据,板塔结合,东,钢混结构,精装,三梯五户,有,2021-08-23,商品房,2017-10-15,普通住宅,满两年,共有,"
                                有抵押 30万元 成都银行  业主自还
                              ",已上传房本照片,,,,
1174,['凯德卓锦万黛 3室1厅 东北 东'],暂无数据,首付及贷款情况请咨询经纪人,凯德卓锦万黛,龙泉驿,大面,3室1厅1厨1卫,高楼层 (共39层),92.67㎡,平层,暂无数据,板塔结合,东北 东,钢混结构,精装,三梯六户,有,2021-11-20,商品房,2016-09-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1175,['华润国际社区 4室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,华润国际社区,龙泉驿,大面,4室1厅1厨1卫,中楼层 (共41层),93.91㎡,平层,74.43㎡,板塔结合,东南,钢混结构,精装,三梯八户,有,2021-09-23,商品房,2019-09-03,普通住宅,满两年,非共有,"
                                有抵押 40万元 业主自还
                              ",已上传房本照片,,,,
1176,['龙湖三千庭 4室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,龙湖三千庭,龙泉驿,大面,4室2厅1厨2卫,高楼层 (共11层),121.87㎡,平层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯两户,有,2021-08-15,商品房,2019-02-05,普通住宅,满两年,非共有,"
                                有抵押 50万元
                              ",已上传房本照片,,,,
1177,['翠晨记 3室2厅 南 北'],99,9296,翠晨记,龙泉驿,龙泉驿城区,3室2厅1厨2卫,低楼层 (共6层),106.5㎡,平层,96.25㎡,板塔结合,南 北,钢混结构,简装,一梯两户,无,2021-06-19,商品房,2018-01-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1178,['金茂悦龙山 3室2厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,金茂悦龙山,龙泉驿,大面,3室2厅1厨2卫,低楼层 (共33层),95.75㎡,平层,93㎡,塔楼,东南,钢混结构,简装,两梯五户,有,2021-10-04,商品房,2019-09-16,普通住宅,满两年,共有,"
                                有抵押 25万元 农行锦城27万 客户偿还
                              ",已上传房本照片,,,,
1179,['华润国际社区 3室1厅 东南'],暂无数据,首付及贷款情况请咨询经纪人,华润国际社区,龙泉驿,大面,3室1厅1厨1卫,低楼层 (共41层),77.81㎡,平层,暂无数据,板塔结合,东南,钢混结构,精装,三梯八户,有,2021-05-21,商品房,2018-05-05,普通住宅,满两年,非共有,"
                                有抵押 30万元 工商银行 客户偿还
                              ",已上传房本照片,,,,
1180,['金茂悦龙山 3室1厅 东北'],暂无数据,首付及贷款情况请咨询经纪人,金茂悦龙山,龙泉驿,大面,3室1厅1厨2卫,低楼层 (共33层),89.65㎡,平层,暂无数据,塔楼,东北,钢混结构,精装,两梯五户,有,2021-10-27,商品房,2016-08-18,普通住宅,满五年,非共有,"
                                有抵押 18万元 建设银行 业主自还
                              ",已上传房本照片,,,,
1181,['玉龙山庄 4室2厅 东南'],138,7853,玉龙山庄,龙泉驿,龙泉驿城区,4室2厅1厨2卫,中楼层 (共6层),175.74㎡,平层,162.18㎡,板楼,东南,未知结构,毛坯,一梯两户,无,2021-01-20,商品房,2005-06-03,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1182,['海亮彩悦府 3室2厅 东南'],147,18077,海亮彩悦府,龙泉驿,大面,3室2厅1厨1卫,中楼层 (共32层),81.32㎡,平层,70㎡,板塔结合,东南,钢混结构,精装,两梯六户,有,2021-06-29,商品房,2016-05-11,普通住宅,满两年,共有,"
                                有抵押 25万元 建设银行 客户偿还
                              ",已上传房本照片,,,,
1183,['天悦龙栖台 3室1厅 东南'],121,13277,天悦龙栖台,龙泉驿,龙泉驿城区,3室1厅1厨2卫,低楼层 (共33层),91.14㎡,平层,暂无数据,塔楼,东南,钢混结构,毛坯,三梯六户,有,2021-03-31,商品房,2018-08-21,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1184,['保利玫瑰花语 3室1厅 西'],暂无数据,首付及贷款情况请咨询经纪人,保利玫瑰花语,龙泉驿,大面,3室1厅1厨2卫,低楼层 (共25层),89.25㎡,平层,暂无数据,板楼,西,钢混结构,精装,两梯六户,有,2021-11-13,商品房,2018-03-26,普通住宅,满两年,共有,"
                                有抵押 30万元 建设银行
                              ",已上传房本照片,,,,
1185,['皇冠国际社区二期 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,皇冠国际社区二期,龙泉驿,龙泉驿城区,3室2厅1厨1卫,中楼层 (共11层),93.91㎡,平层,暂无数据,塔楼,南,钢混结构,精装,一梯两户,有,2021-07-10,商品房,2014-03-11,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1186,['新城吾悦广场 3室2厅 南'],暂无数据,首付及贷款情况请咨询经纪人,新城吾悦广场,龙泉驿,龙泉驿城区,3室2厅1厨2卫,中楼层 (共34层),95.4㎡,平层,暂无数据,板塔结合,南,钢混结构,精装,两梯六户,有,2021-09-05,商品房,2019-08-08,普通住宅,满两年,共有,"
                                有抵押 40万元 40 业主自还
                              ",已上传房本照片,,,,
1187,['明星花苑 4室2厅 东南'],125,7886,明星花苑,龙泉驿,阳光城,4室2厅1厨2卫,中楼层 (共6层),158.51㎡,平层,147.82㎡,板楼,东南,框架结构,精装,一梯四户,有,2019-04-07,商品房,2007-11-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1188,['劲力蓝色理想 2室1厅 西南'],76,9469,劲力蓝色理想,龙泉驿,航天,2室1厅1厨1卫,低楼层 (共33层),80.27㎡,平层,65.35㎡,板塔结合,西南,钢混结构,简装,两梯五户,有,2019-05-28,商品房,2012-11-28,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
1189,['春秋名邸 2室2厅 东'],98,10770,春秋名邸,龙泉驿,龙泉驿城区,2室2厅1厨1卫,中楼层 (共24层),91㎡,平层,暂无数据,板楼,东,框架结构,简装,两梯四户,有,2021-11-25,商品房,2011-12-23,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片,,,,
1190,['文豪世苑 1室1厅 东南'],59,9588,文豪世苑,龙泉驿,龙泉驿城区,1室1厅1厨1卫,中楼层 (共19层),61.54㎡,平层,61.54㎡,板楼,东南,钢混结构,其他,两梯四户,有,2021-12-02,商品房,2010-01-25,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片,,,,
